,,,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
,,Number of Records,8,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,5%,,,,,,,,,,,,,,,
,,Number of Records,,,,,9,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,2%,,,,,,,,,,,,,,
,,Number of Records,,,,,,3,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,5%,,,,,,,,,,,,,,,,
,,Number of Records,,,,10,,,,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,4,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Anthropology 122,A,% of Total Number of Records along Grade Code Final,,44%,,,,,,,,,,,,,,,,,,
,,Number of Records,,56,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,25%,,,,,,,,,,,,,,,,,
,,Number of Records,,,31,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,17%,,,,,,,,,,,,,,,,,,,
,,Number of Records,21,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,1%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,1%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,6%,,,,,,,
,,Number of Records,,,,,,,,,,,,,7,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,2%,,,,
,,Number of Records,,,,,,,,,,,,,,,,3,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,3%,,
,,Number of Records,,,,,,,,,,,,,,,,,,4,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Anthropology 124,A,% of Total Number of Records along Grade Code Final,,56%,,,,,,,,,,,,,,,,,,
,,Number of Records,,102,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,18%,,,,,,,,,,,,,,,,,
,,Number of Records,,,33,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
,,Number of Records,8,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,3%,,,,,,,,,,,,,,,
,,Number of Records,,,,,5,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,2%,,,,,,,,,,,,,,
,,Number of Records,,,,,,3,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
,,Number of Records,,,,15,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
,,Number of Records,,,,,,,,,,,,,6,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,2,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,2%,,
,,Number of Records,,,,,,,,,,,,,,,,,,4,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Anthropology 126,A,% of Total Number of Records along Grade Code Final,,47%,,,,,,,,,,,,,,,,,,
,,Number of Records,,162,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,16%,,,,,,,,,,,,,,,,,
,,Number of Records,,,54,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,5%,,,,,,,,,,,,,,,,,,,
,,Number of Records,16,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,34,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
,,Number of Records,,,,,,22,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,7%,,,,,,,,,,,,,,,,
,,Number of Records,,,,25,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
,,Number of Records,,,,,,,,3,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,3,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,7,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
,,Number of Records,,,,,,,,,,,,,12,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,3,,,,,,
Anthropology 129,A,% of Total Number of Records along Grade Code Final,,93%,,,,,,,,,,,,,,,,,,
,,Number of Records,,41,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,2%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
Anthropology 130,A,% of Total Number of Records along Grade Code Final,,14%,,,,,,,,,,,,,,,,,,
,,Number of Records,,17,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,12%,,,,,,,,,,,,,,,,,
,,Number of Records,,,15,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,4,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,7%,,,,,,,,,,,,,,,
,,Number of Records,,,,,8,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,12%,,,,,,,,,,,,,,
,,Number of Records,,,,,,14,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,12,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,7%,,,,,,,,,,,,
,,Number of Records,,,,,,,,9,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,9%,,,,,,,,,,,
,,Number of Records,,,,,,,,,11,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
,,Number of Records,,,,,,,8,,,,,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
,,Number of Records,,,,,,,,,,,,2,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,7%,,,,,,,
,,Number of Records,,,,,,,,,,,,,8,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,3%,,,,
,,Number of Records,,,,,,,,,,,,,,,,4,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,4%,,
,,Number of Records,,,,,,,,,,,,,,,,,,5,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Anthropology 131,A,% of Total Number of Records along Grade Code Final,,23%,,,,,,,,,,,,,,,,,,
,,Number of Records,,11,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,23%,,,,,,,,,,,,,,,,,
,,Number of Records,,,11,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,27%,,,,,,,,,,,,,,,,,,,
,,Number of Records,13,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,6%,,,,,,,,,,,,,,,
,,Number of Records,,,,,3,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,15%,,,,,,,,,,,,,,,,
,,Number of Records,,,,7,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
Anthropology 132,A,% of Total Number of Records along Grade Code Final,,8%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,12%,,,,,,,,,,,,,,,,,
,,Number of Records,,,6,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,20%,,,,,,,,,,,,,,,,,,,
,,Number of Records,10,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,6%,,,,,,,,,,,,,,,
,,Number of Records,,,,,3,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
,,Number of Records,,,,,,5,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,20%,,,,,,,,,,,,,,,,
,,Number of Records,,,,10,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,6%,,,,,,,,,,,,
,,Number of Records,,,,,,,,3,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
,,Number of Records,,,,,,,,,4,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,6%,,,,,,,
,,Number of Records,,,,,,,,,,,,,3,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Anthropology 134,A,% of Total Number of Records along Grade Code Final,,21%,,,,,,,,,,,,,,,,,,
,,Number of Records,,29,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,7%,,,,,,,,,,,,,,,,,
,,Number of Records,,,10,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,14,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,9%,,,,,,,,,,,,,,
,,Number of Records,,,,,,12,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
,,Number of Records,,,,15,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,5%,,,,,,,,,,,,
,,Number of Records,,,,,,,,7,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
,,Number of Records,,,,,,,,,11,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,10%,,,,,,,,,,,,,
,,Number of Records,,,,,,,14,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,2,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,4%,,,,,,,,
,,Number of Records,,,,,,,,,,,,5,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,3%,,,,,,,,,,
,,Number of Records,,,,,,,,,,4,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,6%,,,,,,,
,,Number of Records,,,,,,,,,,,,,8,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,6%,,,,,,
,,Number of Records,,,,,,,,,,,,,,9,,,,,,
Anthropology 135,A,% of Total Number of Records along Grade Code Final,,13%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,16%,,,,,,,,,,,,,,,,,
,,Number of Records,,,5,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,3,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,16%,,,,,,,,,,,,,,
,,Number of Records,,,,,,5,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,6%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,6%,,,,,,,,,,,
,,Number of Records,,,,,,,,,2,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,10%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,6%,,,,,,,,,
,,Number of Records,,,,,,,,,,,2,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,3%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,10%,,,,,,,
,,Number of Records,,,,,,,,,,,,,3,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Anthropology 140,A,% of Total Number of Records along Grade Code Final,,11%,,,,,,,,,,,,,,,,,,
,,Number of Records,,16,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
,,Number of Records,,,17,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
,,Number of Records,9,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
,,Number of Records,,,,,28,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,17%,,,,,,,,,,,,,,
,,Number of Records,,,,,,25,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
,,Number of Records,,,,17,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,5,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,3%,,,,,,,,,,,
,,Number of Records,,,,,,,,,4,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
,,Number of Records,,,,,,,12,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,3%,,,,,,,,,
,,Number of Records,,,,,,,,,,,4,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,3,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
,,Number of Records,,,,,,,,,,,,,,6,,,,,,
Anthropology 141,A,% of Total Number of Records along Grade Code Final,,15%,,,,,,,,,,,,,,,,,,
,,Number of Records,,6,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,15%,,,,,,,,,,,,,,,,,
,,Number of Records,,,6,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,8%,,,,,,,,,,,,,,,,,,,
,,Number of Records,3,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
,,Number of Records,,,,,5,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,3%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,18%,,,,,,,,,,,,,,,,
,,Number of Records,,,,7,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,5%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,8%,,,,,,,,,,,
,,Number of Records,,,,,,,,,3,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,5%,,,,,,,,,,,,,
,,Number of Records,,,,,,,2,,,,,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,3%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,5%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Anthropology 142,A,% of Total Number of Records along Grade Code Final,,23%,,,,,,,,,,,,,,,,,,
,,Number of Records,,39,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
,,Number of Records,,,22,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,3,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,12%,,,,,,,,,,,,,,,
,,Number of Records,,,,,21,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,14,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,18,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,8%,,,,,,,,,,,,
,,Number of Records,,,,,,,,14,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,7%,,,,,,,,,,,
,,Number of Records,,,,,,,,,12,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,8%,,,,,,,,,,,,,
,,Number of Records,,,,,,,13,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,2,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,3,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,7,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,2,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Anthropology 144,A,% of Total Number of Records along Grade Code Final,,18%,,,,,,,,,,,,,,,,,,
,,Number of Records,,21,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,9%,,,,,,,,,,,,,,,,,
,,Number of Records,,,10,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,13%,,,,,,,,,,,,,,,,,,,
,,Number of Records,15,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,11,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,8,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,9%,,,,,,,,,,,,,,,,
,,Number of Records,,,,10,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,6%,,,,,,,,,,,,
,,Number of Records,,,,,,,,7,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,10%,,,,,,,,,,,
,,Number of Records,,,,,,,,,11,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,5,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
,,Number of Records,,,,,,,,,,,,2,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,7%,,,,,,,
,,Number of Records,,,,,,,,,,,,,8,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,4,,,,,,
Anthropology 146,A,% of Total Number of Records along Grade Code Final,,20%,,,,,,,,,,,,,,,,,,
,,Number of Records,,8,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,8%,,,,,,,,,,,,,,,,,
,,Number of Records,,,3,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,4,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,3,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,3%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,10%,,,,,,,,,,,,
,,Number of Records,,,,,,,,4,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,5%,,,,,,,,,,,
,,Number of Records,,,,,,,,,2,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,15%,,,,,,,,,,,,,
,,Number of Records,,,,,,,6,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,8%,,,,,,,,,
,,Number of Records,,,,,,,,,,,3,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,3%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,3%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,8%,,,,,,,
,,Number of Records,,,,,,,,,,,,,3,,,,,,,
Anthropology 148,A,% of Total Number of Records along Grade Code Final,,9%,,,,,,,,,,,,,,,,,,
,,Number of Records,,5,,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,23%,,,,,,,,,,,,,,,,,,,
,,Number of Records,13,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,6,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
,,Number of Records,,,,,,3,,,,,,,,,,,,,,
